title,description,price,extracted,cleaned,cleaned_l2
"luo Cherry MX RGB Switch Mute Pink Switch Mute Gray Switch Genuine German Cherry Switch (10PCS, Cherry RGB Mute Gray Switch)","Cherry powder: a quiet version of cherry red, commonly referred to as cherry powder Cherry gray: a quieter version of cherry black, usually called cherry gray",13.99,"{'Brand': {'value': 'Cherry', 'evidence': ""The description starts with 'Cherry powder', which is the brand name.""}, 'Material': {'value': 'None', 'evidence': ""No information about the material, but considering it's a color powder, it's likely a consumable, so material details are not relevant.""}, 'Storage': {'value': 'None', 'evidence': ""The description doesn't mention storage capacity.""}, 'Screen': {'value': 'None', 'evidence': ""The description is about colors and doesn't mention any screen-related attributes.""}, 'Condition': {'value': 'New', 'evidence': 'Cherry powder is likely a consumable product and therefore in new condition.'}}","{'Brand': None, 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'Cherry', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}"
AntennaMastsRus - Made in USA - 4 Inch Black Aluminum Antenna is Compatible with Audi Allroad (2001-2005),"This is a ""BRAND NEW"" Custom SHORT 4"" Black Aluminum Antenna Mast. Sick of a Broken/Bent antenna or the obnoxiously tall un-stylish antenna your vehicle comes with?? Then this is the custom solution for you! This antenna is Manufactured and Anodized right here in Wisconsin!! Our experience with fit and finish is: If you want it done right, you must do it yourself! No one beats U.S.A Quality, PERIOD! This antenna is made of 6061 grade aluminum construction and finished with a durable Anodized Coating. The anodized coating cannot peel or flake off. It is part of the metal and gives the aluminum a deeper, richer metallic appearance. There will be a reduction in antenna performance due to the antenna size being shortened from the Factory antenna. Any questions or concerns on any of our products feel free to contact us by telephone or email by clicking on TheAntennaSource about us page here on Amazon. ** This antennas main design is for appearance enhancements. Its AM/FM radio reception performance works best for local stations (Satellite Radio/Navigation/Bluetooth not effected). For the BEST reception short antenna check out our SHORT 6 3/4"" antenna found in our store.",22.99,"{'Brand': {'value': 'TheAntennaSource', 'evidence': 'click on TheAntennaSource about us page here on Amazon'}, 'Material': {'value': '6061 grade aluminum', 'evidence': 'Our experience with fit and finish is: If you want it done right, you must do it yourself! No one beats U.S.A Quality, PERIOD! This antenna is made of 6061 grade aluminum construction'}, 'Storage': {'value': 'None', 'evidence': 'No storage capacity information mentioned'}, 'Screen': {'value': 'None', 'evidence': 'No screen information mentioned'}, 'Condition': {'value': 'New', 'evidence': 'BRAND NEW'}}","{'Brand': None, 'Material': '6061 grade aluminum', 'Storage': None, 'Screen': None, 'Condition': 'New'}","{'Brand': 'TheAntennaSource', 'Material': '6061 grade aluminum', 'Storage': None, 'Screen': None, 'Condition': 'New'}"
HP Elitebook 8560W New Replacement LCD Screen for Laptop LED HD Matte,This is a compatible replacement screen for the model listed in the title.,63.33,"{'Brand': {'value': 'Generic', 'evidence': 'compatible replacement'}, 'Material': {'value': 'Unknown', 'evidence': None}, 'Storage': {'value': 'None', 'evidence': 'No storage information'}, 'Screen': {'value': 'Unknown', 'evidence': None}, 'Condition': {'value': 'New', 'evidence': 'compatible replacement'}}","{'Brand': 'Generic', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': 'New'}","{'Brand': 'Generic', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': 'New'}"
"May Chen Compatible with MacBook Pro 16 inch Case 2020 2019 Release A2141 with Touch Bar&Touch ID, Plastic Hard Shell Case with Keyboard Cover + Screen Protector, Abstract Leaves","May Chen High Quality Plastic Hard Shell Case & Keyboard cover and Screen protector and Dust plug Designed ONLY to be compatible with 2019 Release For Macbook Pro 16 inch Model:A2141. Please kindly check the model number """"A1xxx""""on the bottom of the notebook before you purchase, make sure you choose the exact same model number as the listing title stated ""A2141"". Features - Protects your Mac book from accidental hard knocks and scratches Fully access to all buttons and features - Plug your charger, cable or headset without removing the case - Simple clip-on/off design without the added risk of harming your laptop during application",26.99,"{'Brand': {'value': 'May Chen', 'evidence': 'the listing title and description'}, 'Material': {'value': 'Plastic', 'evidence': ""the product description mentions 'High Quality Plastic Hard Shell Case'""}, 'Storage': {'value': 'None', 'evidence': 'no mention of storage capacity is made in the product description'}, 'Screen': {'value': '16 inch', 'evidence': ""the product description specifically mentions 'Designed ONLY to be compatible with 2019 Release For Macbook Pro 16 inch'""}, 'Condition': {'value': 'New', 'evidence': 'the product listing is in the title and description, and no refurbishment or reselling is mentioned'}}","{'Brand': None, 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'May Chen', 'Material': 'Plastic', 'Storage': None, 'Screen': '16 inch', 'Condition': 'New'}"
Centon Electronics Flash Memory Card (S1-SDHU1-32G),"Product Description Centon 32GB SDHC UHS-1. Using the latest in memory technologies and design, Centon brings quality, reliable storage products for you to enjoy and depend on. Manufacturer Contact Information support@otmessentials.com",8.99,"{'Brand': {'value': 'Centon/OTG Essentials', 'evidence': 'Centon 32GB SDHC UHS-1'}, 'Material': {'value': 'Plastic/Metal likely for casing', 'evidence': 'Design of SDHC Cards typically has plastic and metal'}, 'Storage': {'value': '32GB', 'evidence': '32GB SDHC UHS-1'}, 'Screen': {'value': 'None', 'evidence': 'This is an SDHC memory card, hence no screen.'}, 'Condition': {'value': 'New', 'evidence': ""Manufacturer Contact Information and the product name suggesting it's brand produced memory card""}}","{'Brand': 'Centon/OTG Essentials', 'Material': None, 'Storage': '32GB', 'Screen': None, 'Condition': None}","{'Brand': 'Centon/OTG Essentials', 'Material': None, 'Storage': '32GB', 'Screen': None, 'Condition': 'New'}"
"Galaxy Tab A 10.1 Case 2019 - Techcircle Slim PU Leather Multiple Angle Stand Case with Card Slots Shockproof Cover for Samsung Galaxy Tab A 10.1 Inch Tablet SM-T510/T515 2019 Release, Purple Owl","❣❣ Techcircle Slim Lightweight Flip Stand Case for Samsung Galaxy Tab A 10.1 Inch 2019 Release Tablet (Model: SM-T510/T515) ❣❣ ❥ Kickstand Feature: - Adjust different viewing angles as per your needs.  - Anti-slip stripes, effectively increase the stability of the stand.  - Free your hands and bring you the most comfortable viewing angle. ❥ Slim Profile: - Slim and lightweight - Minimal bulk, minimalism style, great for carry around. ❥ Stylus Holder: - Built-in stylus pen holder, also comes with a free stylus pen. Various colors available. ❥ Precise Cutouts: - Full access to all controls and features (charging, camera ports) without removing the case. ❥ High-quality Material: - Premium composition leather exterior and soft interior offer great protection against daily use. ❥ Card Holders: - Card slot is convenient for storing credit cards, business cards or cash, withouy taking your bulky wallet. ❥ What Will You Get? - 1x Samsung Galaxy Tab A 10.1 2019 Case  - 1x Random Color Stylus Pen  - 1x Cleaning Cloth Your satisfaction are very important for us. If there's any further question, pls feel free to contact us. Our team will provide best service to you. =^_^=",17.99,"{'Brand': {'value': 'Techcircle', 'evidence': 'Techcircle Slim Lightweight Flip Stand Case'}, 'Material': {'value': 'Composition Leather', 'evidence': 'Premium composition leather exterior'}, 'Storage': {'value': 'None', 'evidence': ''}, 'Screen': {'value': 'None', 'evidence': '10.1 inch (mentioned in the product name)'}, 'Condition': {'value': 'New', 'evidence': ""The fact that it comes with a free stylus pen and a 1-year warranty (not explicitly mentioned but common with new products), and the phrase 'great protection against daily use' implies it's brand new.""}}","{'Brand': 'Techcircle', 'Material': 'Composition Leather', 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'Techcircle', 'Material': 'Composition Leather', 'Storage': None, 'Screen': None, 'Condition': None}"
"PNY 1TB PRO Elite Class 10 U3 V30 microSDXC Flash Memory Card - 100MB/s, Class 10, U3, V30, A2, 4K UHD, Full HD, UHS-I, micro SD","PNY PRO Elite Class 10 U3 V30 microSD Cards offer peak performance for smartphones, tablets, drones, action cameras, surveillance cameras, gaming consoles, and more. With a read speed of up to 100MB/s and write speed of up to 90MB/s, users can quickly capture and share high resolution content. U3 technology is perfect for 4K Ultra HD videography and HD photography, making these cards the perfect solution by which to capture stunning 4K video, HD photos, music, apps, and more. What’s more, the PRO Elite microSD Flash Memory Cards feature V30 Video Speed Class, ideal for 4K Ultra HD video at 4096x3072 format, allowing users to capture high quality content on today's 4K Ultra-HD devices. Additionally, these cards are rated A2 which optimizes the PRO Elite microSD for app performance; allowing users to run apps directly from the microSD card, delivering faster app launch and performance than ever before. With PNY's PRO Elite Class 10 U3 V30 microSD cards, users can experience memories that feel as real as the day they captured them.",109.99,"{'Brand': {'value': 'PNY', 'evidence': 'PNY PRO Elite'}, 'Material': {'value': 'Plastic', 'evidence': 'microSD Cards'}, 'Storage': {'value': 'None', 'evidence': ''}, 'Screen': {'value': 'None', 'evidence': ''}, 'Condition': {'value': 'New', 'evidence': ''}}","{'Brand': 'PNY', 'Material': 'Plastic', 'Storage': None, 'Screen': None, 'Condition': 'New'}","{'Brand': 'PNY', 'Material': 'Plastic', 'Storage': 'None', 'Screen': None, 'Condition': 'New'}"
JBL FLIP 5 - Waterproof Portable Bluetooth Speaker Made from 100% Recycled Plastic - Blue (Renewed),"This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.",79.9,"{'Brand': {'value': 'Generic', 'evidence': 'inspected and tested to work and look like new ( Amazon Renewed product)'}, 'Material': 'Not specified', 'Storage': 'Not specified', 'Screen': 'Not specified', 'Condition': {'value': 'Renewed', 'evidence': 'inspected and tested to work and look like new ( Amazon Renewed product)'}}","{'Brand': None, 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': None, 'Material': None, 'Storage': None, 'Screen': None, 'Condition': 'Renewed'}"
"AvimaBasics Ear Buds, Spare Kit Earloops Buds Compatible with Plantronics WH500 CS540 W440 Savi W740 - Includes: 3 Earloop, 3 Eartips Guarantee! (1 Pack)","Replacement Compatible with Plantronics WH500 CS540 W440 Savi W740 Earloops Kit Plantronics CS540 Earloops Kit The Plantronics 86540-01 Eartip with earloop is for use with WH500 CS540 W440 Savi W740 headsets. 86540-01 Features: Eartip w/ Earloop Kit For WH500 CS540 W440 Savi W740 headsets Smokey Color Ear Loop Made Of Nylon Material Includes: 1 small, 1 Medium, 1 Large Earloop & 1 small, 1 medium and 1 large Ear Tips NOTE: Foam Tube is NOT included!",9.99,"{'Brand': {'value': 'Plantronics', 'evidence': 'The Plantronics 86540-01 Eartip with earloop'}, 'Material': {'value': 'Nylon', 'evidence': 'Made Of Nylon Material'}, 'Storage': {'value': 'None', 'evidence': 'Unknown for this product type'}, 'Screen': {'value': 'None', 'evidence': 'Unknown for this product type'}, 'Condition': {'value': 'New', 'evidence': 'The product is a replacement kit with no indication of used or refurbished status'}}","{'Brand': 'Plantronics', 'Material': 'Nylon', 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'Plantronics', 'Material': 'Nylon', 'Storage': None, 'Screen': None, 'Condition': None}"
Compatible with Ford Explorer 2006 2007 2008 2009 2010 Double DIN Stereo Harness Radio Install Dash Kit Package,"This Package Includes the Following Items: 1 x Metra 95-5812 Double DIN Installation Kit for Select 2004-2006 Ford Vehicles 1 x Metra 95-5812 Double DIN Installation Kit for Select 2004-2006 Ford Vehicles 1 x Harmony Audio HA-705520 Ford Lincoln Mercury Factory Stereo to Aftermarket Radio Harness Adapter 1 x Harmony Audio HA-705520 Ford Lincoln Mercury Factory Stereo to Aftermarket Radio Harness Adapter 1 x Chrysler Chevy Dodge For Lincoln Jeep Factory Radio to Aftermarket Antenna Adapter 1 x Chrysler Chevy Dodge For Lincoln Jeep Factory Radio to Aftermarket Antenna Adapter Metra 95-5812 Double DIN Installation Kit for Select 2004-2006 Ford Vehicles: Install dash kit for Double DIN/ISO Radios Install dash kit for Double DIN/ISO Radios Designed and manufactured with precision tolerances, resulting in a gapless fit between the dash and the kit Designed and manufactured with precision tolerances, resulting in a gapless fit between the dash and the kit Painted to match factory dash color Painted to match factory dash color High-grade ABS plastic construction High-grade ABS plastic construction Factory style texture Factory style texture Product Guide: Product Guide: Kit Includes:Radio Housing Trim PlateRadio Housing Brackets Kit Includes: Radio Housing Trim Plate Radio Housing Trim Plate Radio Housing Brackets Radio Housing Brackets Harmony Audio HA-705520 Ford Lincoln Mercury Factory Stereo to Aftermarket Radio Harness Adapter: Specifications: Simply plug and play installation, no cutting required Simply plug and play installation, no cutting required Designed for standard audio system, premium audio may require different harness Designed for standard audio system, premium audio may require different harness Clearly marked color coded wires Clearly marked color coded wires Ideal for aftermarket radio Ideal for aftermarket radio 18 gauge high quality wire 18 gauge high quality wire Direct OEM fit connection Direct OEM fit connection Chrysler Chevy Dodge For Lincoln Jeep Factory Radio to Aftermarket Antenna Adapter: Specifications Simply plug and play installation, no cutting required Simply plug and play installation, no cutting required Adapts factory antenna plug into aftermarket style Adapts factory antenna plug into aftermarket style Ideal for aftermarket radio Ideal for aftermarket radio Direct OEM fit connection Direct OEM fit connection",27.99,"{'Brand': {'value': 'Metra', 'evidence': 'Metra 95-5812 Double DIN Installation Kit'}, 'Material': {'value': 'Plastic', 'evidence': 'Installed dash kit'}, 'Storage': {'value': 'None', 'evidence': 'No mention of storage capacity'}, 'Screen': {'value': 'None', 'evidence': 'No mention of screen size'}, 'Condition': {'value': 'New', 'evidence': 'Manufactured with precision tolerances, painted to match factory dash color'}}","{'Brand': 'Metra', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'Metra', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}"
